case,path,elapsedMs,value,canonicalValue,unit
relief-open,vessel.primaryCoolantInventoryKg,80000,283612.3602930942,283612.3602930942,kg
relief-open,vessel.primaryCoolantInventoryKg,81000,283568.53541072435,283568.53541072435,kg
relief-open,vessel.primaryCoolantInventoryKg,82000,283526.9575842647,283526.9575842647,kg
relief-open,vessel.primaryCoolantInventoryKg,83000,283487.595654149,283487.595654149,kg
relief-open,vessel.primaryCoolantInventoryKg,84000,283450.41267403425,283450.41267403425,kg
relief-open,vessel.primaryCoolantInventoryKg,85000,283415.3665061788,283415.3665061788,kg
relief-open,vessel.primaryCoolantInventoryKg,86000,283382.4103903949,283382.4103903949,kg
relief-open,vessel.primaryCoolantInventoryKg,87000,283351.49348648847,283351.49348648847,kg
relief-open,vessel.primaryCoolantInventoryKg,88000,283322.56139017886,283322.56139017886,kg
relief-open,vessel.primaryCoolantInventoryKg,89000,283295.55662256794,283295.55662256794,kg
relief-open,vessel.primaryCoolantInventoryKg,90000,283270.41202612116,283270.41202612116,kg
relief-open,vessel.primaryCoolantInventoryKg,91000,283247.0060859623,283247.0060859623,kg
relief-open,vessel.primaryCoolantInventoryKg,92000,283225.2011346703,283225.2011346703,kg
relief-open,vessel.primaryCoolantInventoryKg,93000,283204.870300717,283204.870300717,kg
relief-open,vessel.primaryCoolantInventoryKg,94000,283185.8967765083,283185.8967765083,kg
relief-open,vessel.primaryCoolantInventoryKg,95000,283168.17302146286,283168.17302146286,kg
relief-open,vessel.primaryCoolantInventoryKg,96000,283151.6000280153,283151.6000280153,kg
relief-open,vessel.primaryCoolantInventoryKg,97000,283136.0866455807,283136.0866455807,kg
relief-open,vessel.primaryCoolantInventoryKg,98000,283121.54895791336,283121.54895791336,kg
relief-open,vessel.primaryCoolantInventoryKg,99000,283107.9097096529,283107.9097096529,kg
relief-open,vessel.primaryCoolantInventoryKg,100000,283095.09777817875,283095.09777817875,kg
relief-open,vessel.primaryCoolantInventoryKg,101000,283083.0476872046,283083.0476872046,kg
relief-open,vessel.primaryCoolantInventoryKg,102000,283071.69915882125,283071.69915882125,kg
relief-open,vessel.primaryCoolantInventoryKg,103000,283060.99670095736,283060.99670095736,kg
relief-open,vessel.primaryCoolantInventoryKg,104000,283050.88922746596,283050.88922746596,kg
relief-open,vessel.primaryCoolantInventoryKg,105000,283041.3297082647,283041.3297082647,kg
relief-open,vessel.primaryCoolantInventoryKg,106000,283032.2748471589,283032.2748471589,kg
relief-open,vessel.primaryCoolantInventoryKg,107000,283023.6652416813,283023.6652416813,kg
relief-open,vessel.primaryCoolantInventoryKg,108000,283015.1652416815,283015.1652416815,kg
relief-open,vessel.primaryCoolantInventoryKg,109000,283006.66524168174,283006.66524168174,kg
relief-open,vessel.primaryCoolantInventoryKg,110000,282998.16524168197,282998.16524168197,kg
relief-open,vessel.primaryCoolantInventoryKg,111000,282989.6652416822,282989.6652416822,kg
relief-open,vessel.primaryCoolantInventoryKg,112000,282981.16524168244,282981.16524168244,kg
relief-open,vessel.primaryCoolantInventoryKg,113000,282972.66524168267,282972.66524168267,kg
relief-open,vessel.primaryCoolantInventoryKg,114000,282964.1652416829,282964.1652416829,kg
relief-open,vessel.primaryCoolantInventoryKg,115000,282955.66524168313,282955.66524168313,kg
relief-open,vessel.primaryCoolantInventoryKg,116000,282947.16524168337,282947.16524168337,kg
relief-open,vessel.primaryCoolantInventoryKg,117000,282938.6652416836,282938.6652416836,kg
relief-open,vessel.primaryCoolantInventoryKg,118000,282930.16524168383,282930.16524168383,kg
relief-open,vessel.primaryCoolantInventoryKg,119000,282921.66524168407,282921.66524168407,kg
relief-open,vessel.primaryCoolantInventoryKg,120000,282913.1652416843,282913.1652416843,kg
relief-open,vessel.primaryCoolantInventoryKg,121000,282904.66524168453,282904.66524168453,kg
relief-open,vessel.primaryCoolantInventoryKg,122000,282896.16524168476,282896.16524168476,kg
relief-open,vessel.primaryCoolantInventoryKg,123000,282887.665241685,282887.665241685,kg
relief-open,vessel.primaryCoolantInventoryKg,124000,282879.16524168523,282879.16524168523,kg
relief-open,vessel.primaryCoolantInventoryKg,125000,282870.66524168546,282870.66524168546,kg
relief-open,vessel.primaryCoolantInventoryKg,126000,282862.1652416857,282862.1652416857,kg
relief-open,vessel.primaryCoolantInventoryKg,127000,282853.6652416859,282853.6652416859,kg
relief-open,vessel.primaryCoolantInventoryKg,128000,282845.16524168616,282845.16524168616,kg
relief-open,vessel.primaryCoolantInventoryKg,129000,282836.6652416864,282836.6652416864,kg
relief-open,vessel.primaryCoolantInventoryKg,130000,282828.1652416866,282828.1652416866,kg
relief-open,vessel.primaryCoolantInventoryKg,131000,282819.66524168686,282819.66524168686,kg
relief-open,vessel.primaryCoolantInventoryKg,132000,282811.1652416871,282811.1652416871,kg
relief-open,vessel.primaryCoolantInventoryKg,133000,282802.6652416873,282802.6652416873,kg
relief-open,vessel.primaryCoolantInventoryKg,134000,282794.16524168756,282794.16524168756,kg
relief-open,vessel.primaryCoolantInventoryKg,135000,282785.6652416878,282785.6652416878,kg
relief-open,vessel.primaryCoolantInventoryKg,136000,282777.165241688,282777.165241688,kg
relief-open,vessel.primaryCoolantInventoryKg,137000,282768.66524168826,282768.66524168826,kg
relief-open,vessel.primaryCoolantInventoryKg,138000,282760.1652416885,282760.1652416885,kg
relief-open,vessel.primaryCoolantInventoryKg,139000,282751.6652416887,282751.6652416887,kg
relief-open,vessel.primaryCoolantInventoryKg,140000,282743.16524168896,282743.16524168896,kg
relief-open,vessel.primaryCoolantInventoryKg,141000,282734.6652416892,282734.6652416892,kg
relief-open,vessel.primaryCoolantInventoryKg,142000,282726.1652416894,282726.1652416894,kg
relief-open,vessel.primaryCoolantInventoryKg,143000,282717.66524168965,282717.66524168965,kg
relief-open,vessel.primaryCoolantInventoryKg,144000,282709.1652416899,282709.1652416899,kg
relief-open,vessel.primaryCoolantInventoryKg,145000,282700.6652416901,282700.6652416901,kg
relief-open,vessel.primaryCoolantInventoryKg,146000,282692.16524169035,282692.16524169035,kg
relief-open,vessel.primaryCoolantInventoryKg,147000,282683.6652416906,282683.6652416906,kg
relief-open,vessel.primaryCoolantInventoryKg,148000,282675.1652416908,282675.1652416908,kg
relief-open,vessel.primaryCoolantInventoryKg,149000,282666.66524169105,282666.66524169105,kg
relief-open,vessel.primaryCoolantInventoryKg,150000,282658.1652416913,282658.1652416913,kg
relief-open,vessel.primaryCoolantInventoryKg,151000,282649.6652416915,282649.6652416915,kg
relief-open,vessel.primaryCoolantInventoryKg,152000,282641.16524169175,282641.16524169175,kg
relief-open,vessel.primaryCoolantInventoryKg,153000,282632.665241692,282632.665241692,kg
relief-open,vessel.primaryCoolantInventoryKg,154000,282624.1652416922,282624.1652416922,kg
relief-open,vessel.primaryCoolantInventoryKg,155000,282615.66524169245,282615.66524169245,kg
relief-open,vessel.primaryCoolantInventoryKg,156000,282607.1652416927,282607.1652416927,kg
relief-open,vessel.primaryCoolantInventoryKg,157000,282598.6652416929,282598.6652416929,kg
relief-open,vessel.primaryCoolantInventoryKg,158000,282590.16524169315,282590.16524169315,kg
relief-open,vessel.primaryCoolantInventoryKg,159000,282581.6652416934,282581.6652416934,kg
relief-open,vessel.primaryCoolantInventoryKg,160000,282573.1652416936,282573.1652416936,kg
relief-open,vessel.primaryCoolantInventoryKg,161000,282564.66524169385,282564.66524169385,kg
